problemName,vehicleFileID,numUAVs,UAVSpeedType,numTrucks,numCustomers,timestamp,ofv,totalTime,numUAVcust,numTruckCust,waitingTruck,waitingUAV
20191230T145916460302,101,2,maximum,-1,10, 2019-12-30 17:36:58,5080.584038,0.437404,2,8,180,918.172154
20191230T145916460302,101,3,maximum,-1,10, 2019-12-30 17:36:59,4561.000364,0.605136,6,4,450,2075.510554
20191230T145916460302,101,4,maximum,-1,10, 2019-12-30 17:37:00,4561.000364,0.5692,6,4,450,2075.510554
20191230T145916460302,102,1,maximum,-1,10, 2019-12-30 17:37:01,4233.166218,0.319066,3,7,507.25296,234.956096
20191230T145916460302,102,2,maximum,-1,10, 2019-12-30 17:37:01,3495.31828,0.347031,5,5,567.25296,650.597923
20191230T145916460302,102,3,maximum,-1,10, 2019-12-30 17:37:02,3465.318281,0.480979,5,5,537.25296,774.320461
20191230T145916460302,102,4,maximum,-1,10, 2019-12-30 17:37:03,3465.318281,0.533743,5,5,537.25296,774.320461
20191230T145916460302,103,1,maximum,-1,10, 2019-12-30 17:37:04,5202.698026,0.221922,1,9,90,114.285708
20191230T145916460302,103,2,maximum,-1,10, 2019-12-30 17:37:05,4850.263604,0.119923,4,6,360,789.136463
20191230T145916460302,103,3,maximum,-1,10, 2019-12-30 17:37:05,4489.274737,0.209525,5,5,697.75786,657.585181
20191230T145916460302,103,4,maximum,-1,10, 2019-12-30 17:37:06,4489.274737,0.224501,5,5,697.75786,657.585181
20191230T145916460302,104,1,maximum,-1,10, 2019-12-30 17:37:07,5454.384336,0.068603,1,9,90,207.89653
20191230T145916460302,104,2,maximum,-1,10, 2019-12-30 17:37:07,5454.384336,0.088442,1,9,90,207.89653
20191230T145916460302,104,3,maximum,-1,10, 2019-12-30 17:37:07,5454.384336,0.111051,1,9,90,207.89653
20191230T145916460302,104,4,maximum,-1,10, 2019-12-30 17:37:08,5454.384336,0.126717,1,9,90,207.89653
20191230T145938067895,101,1,maximum,-1,10, 2019-12-30 17:37:08,7439.52153,0.240402,1,9,90,105.780179
20191230T145938067895,101,2,maximum,-1,10, 2019-12-30 17:37:09,7226.816219,0.33727,3,7,902.763333,458.20412
20191230T145938067895,101,3,maximum,-1,10, 2019-12-30 17:37:10,7226.816219,0.383292,3,7,902.763333,458.20412
20191230T145938067895,101,4,maximum,-1,10, 2019-12-30 17:37:11,7226.816219,0.381299,3,7,902.763333,458.20412
20191230T145938067895,102,1,maximum,-1,10, 2019-12-30 17:37:11,6656.031867,0.178731,3,7,331.978981,1216.610937
20191230T145938067895,102,2,maximum,-1,10, 2019-12-30 17:37:12,6626.031867,0.33588,3,7,301.978981,1410.665421
20191230T145938067895,102,3,maximum,-1,10, 2019-12-30 17:37:13,6626.031867,0.44009,3,7,301.978981,1410.665421
20191230T145938067895,102,4,maximum,-1,10, 2019-12-30 17:37:14,6626.031867,0.455611,3,7,301.978981,1410.665421
20191230T145938067895,103,1,maximum,-1,10, 2019-12-30 17:37:14,7598.414834,0.064836,1,9,112.56763,30
20191230T145938067895,103,2,maximum,-1,10, 2019-12-30 17:37:15,7566.030164,0.140973,1,9,128.633787,30
20191230T145938067895,103,3,maximum,-1,10, 2019-12-30 17:37:15,7566.030164,0.197155,1,9,128.633787,30
20191230T145938067895,103,4,maximum,-1,10, 2019-12-30 17:37:16,7566.030164,0.192252,1,9,128.633787,30
20191230T145938067895,104,1,maximum,-1,10, 2019-12-30 17:37:17,8095.980123,0.04513,0,10,0,0
